Host,IP,asn_registry,asn,asn_cidr,asn_description,asn_country_code,nets
besson-levray-dijon.notaires.fr,15.188.186.150,arin,16509,15.188.0.0/16,"AMAZON-02, US",US,"[{'cidr': '15.180.0.0/14, 15.188.0.0/16, 15.179.0.0/16, 15.184.0.0/14', 'name': 'AT-88-Z', 'handle': 'NET-15-179-0-0-1', 'range': '15.179.0.0 - 15.188.255.255', 'description': 'Amazon Technologies Inc.', 'country': 'US', 'state': 'WA', 'city': 'Seattle', 'address': '410 Terry Ave N.', 'postal_code': '98109', 'emails': ['amzn-noc-contact@amazon.com', 'aws-routing-poc@amazon.com', 'aws-rpki-routing-poc@amazon.com', 'abuse@amazonaws.com'], 'created': '2021-01-28', 'updated': '2021-02-10'}, {'cidr': '15.188.0.0/16', 'name': 'AMAZON-CDG', 'handle': 'NET-15-188-0-0-2', 'range': None, 'description': 'Amazon Data Services France', 'country': 'FR', 'state': 'PostalCode:     92110', 'city': 'Clichy', 'address': '67 Boulevard du General Leclerc', 'postal_code': '92110', 'emails': ['abuse@amazonaws.com', 'amzn-noc-contact@amazon.com'], 'created': '2019-05-22', 'updated': '2021-02-10'}]"
besson-subert.notaires.fr,13.38.170.206,arin,16509,13.36.0.0/14,"AMAZON-02, US",US,"[{'cidr': '13.48.0.0/13, 13.24.0.0/13, 13.56.0.0/14, 13.32.0.0/12', 'name': 'AT-88-Z', 'handle': 'NET-13-24-0-0-1', 'range': '13.24.0.0 - 13.59.255.255', 'description': 'Amazon Technologies Inc.', 'country': 'US', 'state': 'WA', 'city': 'Seattle', 'address': '410 Terry Ave N.', 'postal_code': '98109', 'emails': ['amzn-noc-contact@amazon.com', 'aws-routing-poc@amazon.com', 'abuse@amazonaws.com', 'aws-rpki-routing-poc@amazon.com'], 'created': '2020-08-05', 'updated': '2021-02-10'}, {'cidr': '13.36.0.0/14', 'name': 'AMAZON-CDG', 'handle': 'NET-13-36-0-0-1', 'range': None, 'description': 'Amazon Data Services France', 'country': 'FR', 'state': 'PostalCode:     92110', 'city': 'Clichy', 'address': '67 Boulevard du General Leclerc', 'postal_code': '92110', 'emails': ['amzn-noc-contact@amazon.com', 'abuse@amazonaws.com'], 'created': '2020-10-22', 'updated': '2021-02-10'}]"
bessou.notaires.fr,15.188.186.150,arin,16509,15.188.0.0/16,"AMAZON-02, US",US,"[{'cidr': '15.188.0.0/16, 15.184.0.0/14, 15.180.0.0/14, 15.179.0.0/16', 'name': 'AT-88-Z', 'handle': 'NET-15-179-0-0-1', 'range': '15.179.0.0 - 15.188.255.255', 'description': 'Amazon Technologies Inc.', 'country': 'US', 'state': 'WA', 'city': 'Seattle', 'address': '410 Terry Ave N.', 'postal_code': '98109', 'emails': ['amzn-noc-contact@amazon.com', 'aws-routing-poc@amazon.com', 'aws-rpki-routing-poc@amazon.com', 'abuse@amazonaws.com'], 'created': '2021-01-28', 'updated': '2021-02-10'}, {'cidr': '15.188.0.0/16', 'name': 'AMAZON-CDG', 'handle': 'NET-15-188-0-0-2', 'range': None, 'description': 'Amazon Data Services France', 'country': 'FR', 'state': 'PostalCode:     92110', 'city': 'Clichy', 'address': '67 Boulevard du General Leclerc', 'postal_code': '92110', 'emails': ['abuse@amazonaws.com', 'amzn-noc-contact@amazon.com'], 'created': '2019-05-22', 'updated': '2021-02-10'}]"
betta-puteaux-ladefense.notaires.fr,15.188.186.150,arin,16509,15.188.0.0/16,"AMAZON-02, US",US,"[{'cidr': '15.179.0.0/16, 15.180.0.0/14, 15.188.0.0/16, 15.184.0.0/14', 'name': 'AT-88-Z', 'handle': 'NET-15-179-0-0-1', 'range': '15.179.0.0 - 15.188.255.255', 'description': 'Amazon Technologies Inc.', 'country': 'US', 'state': 'WA', 'city': 'Seattle', 'address': '410 Terry Ave N.', 'postal_code': '98109', 'emails': ['aws-routing-poc@amazon.com', 'amzn-noc-contact@amazon.com', 'abuse@amazonaws.com', 'aws-rpki-routing-poc@amazon.com'], 'created': '2021-01-28', 'updated': '2021-02-10'}, {'cidr': '15.188.0.0/16', 'name': 'AMAZON-CDG', 'handle': 'NET-15-188-0-0-2', 'range': None, 'description': 'Amazon Data Services France', 'country': 'FR', 'state': 'PostalCode:     92110', 'city': 'Clichy', 'address': '67 Boulevard du General Leclerc', 'postal_code': '92110', 'emails': ['abuse@amazonaws.com', 'amzn-noc-contact@amazon.com'], 'created': '2019-05-22', 'updated': '2021-02-10'}]"
bettinger-grimod.notaires.fr,13.38.170.206,arin,16509,13.36.0.0/14,"AMAZON-02, US",US,"[{'cidr': '13.24.0.0/13, 13.56.0.0/14, 13.48.0.0/13, 13.32.0.0/12', 'name': 'AT-88-Z', 'handle': 'NET-13-24-0-0-1', 'range': '13.24.0.0 - 13.59.255.255', 'description': 'Amazon Technologies Inc.', 'country': 'US', 'state': 'WA', 'city': 'Seattle', 'address': '410 Terry Ave N.', 'postal_code': '98109', 'emails': ['amzn-noc-contact@amazon.com', 'aws-routing-poc@amazon.com', 'abuse@amazonaws.com', 'aws-rpki-routing-poc@amazon.com'], 'created': '2020-08-05', 'updated': '2021-02-10'}, {'cidr': '13.36.0.0/14', 'name': 'AMAZON-CDG', 'handle': 'NET-13-36-0-0-1', 'range': None, 'description': 'Amazon Data Services France', 'country': 'FR', 'state': 'PostalCode:     92110', 'city': 'Clichy', 'address': '67 Boulevard du General Leclerc', 'postal_code': '92110', 'emails': ['amzn-noc-contact@amazon.com', 'abuse@amazonaws.com'], 'created': '2020-10-22', 'updated': '2021-02-10'}]"
beulque-langogne.notaires.fr,,,,,,Unable to resolve. Error: [Errno 11001] getaddrinfo failed,
bezanson.notaires.fr,,,,,,Unable to resolve. Error: [Errno 11001] getaddrinfo failed,
bezanson-stival-thon-stenay-dun-sur-meuse.notaires.fr,,,,,,Unable to resolve. Error: [Errno 11001] getaddrinfo failed,
bfv.notaires.fr,13.38.170.206,arin,16509,13.36.0.0/14,"AMAZON-02, US",US,"[{'cidr': '13.48.0.0/13, 13.32.0.0/12, 13.24.0.0/13, 13.56.0.0/14', 'name': 'AT-88-Z', 'handle': 'NET-13-24-0-0-1', 'range': '13.24.0.0 - 13.59.255.255', 'description': 'Amazon Technologies Inc.', 'country': 'US', 'state': 'WA', 'city': 'Seattle', 'address': '410 Terry Ave N.', 'postal_code': '98109', 'emails': ['aws-routing-poc@amazon.com', 'amzn-noc-contact@amazon.com', 'abuse@amazonaws.com', 'aws-rpki-routing-poc@amazon.com'], 'created': '2020-08-05', 'updated': '2021-02-10'}, {'cidr': '13.36.0.0/14', 'name': 'AMAZON-CDG', 'handle': 'NET-13-36-0-0-1', 'range': None, 'description': 'Amazon Data Services France', 'country': 'FR', 'state': 'PostalCode:     92110', 'city': 'Clichy', 'address': '67 Boulevard du General Leclerc', 'postal_code': '92110', 'emails': ['abuse@amazonaws.com', 'amzn-noc-contact@amazon.com'], 'created': '2020-10-22', 'updated': '2021-02-10'}]"
bhm-notaires-enghien.notaires.fr,13.38.170.206,arin,16509,13.36.0.0/14,"AMAZON-02, US",US,"[{'cidr': '13.56.0.0/14, 13.24.0.0/13, 13.32.0.0/12, 13.48.0.0/13', 'name': 'AT-88-Z', 'handle': 'NET-13-24-0-0-1', 'range': '13.24.0.0 - 13.59.255.255', 'description': 'Amazon Technologies Inc.', 'country': 'US', 'state': 'WA', 'city': 'Seattle', 'address': '410 Terry Ave N.', 'postal_code': '98109', 'emails': ['aws-rpki-routing-poc@amazon.com', 'amzn-noc-contact@amazon.com', 'abuse@amazonaws.com', 'aws-routing-poc@amazon.com'], 'created': '2020-08-05', 'updated': '2021-02-10'}, {'cidr': '13.36.0.0/14', 'name': 'AMAZON-CDG', 'handle': 'NET-13-36-0-0-1', 'range': None, 'description': 'Amazon Data Services France', 'country': 'FR', 'state': 'PostalCode:     92110', 'city': 'Clichy', 'address': '67 Boulevard du General Leclerc', 'postal_code': '92110', 'emails': ['amzn-noc-contact@amazon.com', 'abuse@amazonaws.com'], 'created': '2020-10-22', 'updated': '2021-02-10'}]"
bichel-troyes.notaires.fr,15.188.186.150,arin,16509,15.188.0.0/16,"AMAZON-02, US",US,"[{'cidr': '15.180.0.0/14, 15.184.0.0/14, 15.188.0.0/16, 15.179.0.0/16', 'name': 'AT-88-Z', 'handle': 'NET-15-179-0-0-1', 'range': '15.179.0.0 - 15.188.255.255', 'description': 'Amazon Technologies Inc.', 'country': 'US', 'state': 'WA', 'city': 'Seattle', 'address': '410 Terry Ave N.', 'postal_code': '98109', 'emails': ['aws-rpki-routing-poc@amazon.com', 'aws-routing-poc@amazon.com', 'abuse@amazonaws.com', 'amzn-noc-contact@amazon.com'], 'created': '2021-01-28', 'updated': '2021-02-10'}, {'cidr': '15.188.0.0/16', 'name': 'AMAZON-CDG', 'handle': 'NET-15-188-0-0-2', 'range': None, 'description': 'Amazon Data Services France', 'country': 'FR', 'state': 'PostalCode:     92110', 'city': 'Clichy', 'address': '67 Boulevard du General Leclerc', 'postal_code': '92110', 'emails': ['amzn-noc-contact@amazon.com', 'abuse@amazonaws.com'], 'created': '2019-05-22', 'updated': '2021-02-10'}]"
bigeard.notaires.fr,,,,,,Unable to resolve. Error: [Errno 11001] getaddrinfo failed,
bigot-faure-renoux-belley.notaires.fr,,,,,,Unable to resolve. Error: [Errno 11001] getaddrinfo failed,
bihin.notaires.fr,13.38.170.206,arin,16509,13.36.0.0/14,"AMAZON-02, US",US,"[{'cidr': '13.32.0.0/12, 13.56.0.0/14, 13.48.0.0/13, 13.24.0.0/13', 'name': 'AT-88-Z', 'handle': 'NET-13-24-0-0-1', 'range': '13.24.0.0 - 13.59.255.255', 'description': 'Amazon Technologies Inc.', 'country': 'US', 'state': 'WA', 'city': 'Seattle', 'address': '410 Terry Ave N.', 'postal_code': '98109', 'emails': ['aws-routing-poc@amazon.com', 'amzn-noc-contact@amazon.com', 'abuse@amazonaws.com', 'aws-rpki-routing-poc@amazon.com'], 'created': '2020-08-05', 'updated': '2021-02-10'}, {'cidr': '13.36.0.0/14', 'name': 'AMAZON-CDG', 'handle': 'NET-13-36-0-0-1', 'range': None, 'description': 'Amazon Data Services France', 'country': 'FR', 'state': 'PostalCode:     92110', 'city': 'Clichy', 'address': '67 Boulevard du General Leclerc', 'postal_code': '92110', 'emails': ['abuse@amazonaws.com', 'amzn-noc-contact@amazon.com'], 'created': '2020-10-22', 'updated': '2021-02-10'}]"
billard-freville-saint-valery-sur-somme.notaires.fr,15.188.186.150,arin,16509,15.188.0.0/16,"AMAZON-02, US",US,"[{'cidr': '15.188.0.0/16, 15.180.0.0/14, 15.184.0.0/14, 15.179.0.0/16', 'name': 'AT-88-Z', 'handle': 'NET-15-179-0-0-1', 'range': '15.179.0.0 - 15.188.255.255', 'description': 'Amazon Technologies Inc.', 'country': 'US', 'state': 'WA', 'city': 'Seattle', 'address': '410 Terry Ave N.', 'postal_code': '98109', 'emails': ['aws-rpki-routing-poc@amazon.com', 'amzn-noc-contact@amazon.com', 'abuse@amazonaws.com', 'aws-routing-poc@amazon.com'], 'created': '2021-01-28', 'updated': '2021-02-10'}, {'cidr': '15.188.0.0/16', 'name': 'AMAZON-CDG', 'handle': 'NET-15-188-0-0-2', 'range': None, 'description': 'Amazon Data Services France', 'country': 'FR', 'state': 'PostalCode:     92110', 'city': 'Clichy', 'address': '67 Boulevard du General Leclerc', 'postal_code': '92110', 'emails': ['amzn-noc-contact@amazon.com', 'abuse@amazonaws.com'], 'created': '2019-05-22', 'updated': '2021-02-10'}]"
billerach-camet-lassalle-orthez.notaires.fr,,,,,,Unable to resolve. Error: [Errno 11001] getaddrinfo failed,
billy-banyuls.notaires.fr,13.38.170.206,arin,16509,13.36.0.0/14,"AMAZON-02, US",US,"[{'cidr': '13.56.0.0/14, 13.24.0.0/13, 13.48.0.0/13, 13.32.0.0/12', 'name': 'AT-88-Z', 'handle': 'NET-13-24-0-0-1', 'range': '13.24.0.0 - 13.59.255.255', 'description': 'Amazon Technologies Inc.', 'country': 'US', 'state': 'WA', 'city': 'Seattle', 'address': '410 Terry Ave N.', 'postal_code': '98109', 'emails': ['aws-routing-poc@amazon.com', 'amzn-noc-contact@amazon.com', 'abuse@amazonaws.com', 'aws-rpki-routing-poc@amazon.com'], 'created': '2020-08-05', 'updated': '2021-02-10'}, {'cidr': '13.36.0.0/14', 'name': 'AMAZON-CDG', 'handle': 'NET-13-36-0-0-1', 'range': None, 'description': 'Amazon Data Services France', 'country': 'FR', 'state': 'PostalCode:     92110', 'city': 'Clichy', 'address': '67 Boulevard du General Leclerc', 'postal_code': '92110', 'emails': ['abuse@amazonaws.com', 'amzn-noc-contact@amazon.com'], 'created': '2020-10-22', 'updated': '2021-02-10'}]"
binard-grand-ploermel.notaires.fr,15.188.186.150,arin,16509,15.188.0.0/16,"AMAZON-02, US",US,"[{'cidr': '15.188.0.0/16, 15.180.0.0/14, 15.179.0.0/16, 15.184.0.0/14', 'name': 'AT-88-Z', 'handle': 'NET-15-179-0-0-1', 'range': '15.179.0.0 - 15.188.255.255', 'description': 'Amazon Technologies Inc.', 'country': 'US', 'state': 'WA', 'city': 'Seattle', 'address': '410 Terry Ave N.', 'postal_code': '98109', 'emails': ['amzn-noc-contact@amazon.com', 'aws-routing-poc@amazon.com', 'abuse@amazonaws.com', 'aws-rpki-routing-poc@amazon.com'], 'created': '2021-01-28', 'updated': '2021-02-10'}, {'cidr': '15.188.0.0/16', 'name': 'AMAZON-CDG', 'handle': 'NET-15-188-0-0-2', 'range': None, 'description': 'Amazon Data Services France', 'country': 'FR', 'state': 'PostalCode:     92110', 'city': 'Clichy', 'address': '67 Boulevard du General Leclerc', 'postal_code': '92110', 'emails': ['amzn-noc-contact@amazon.com', 'abuse@amazonaws.com'], 'created': '2019-05-22', 'updated': '2021-02-10'}]"
binard-mauron.notaires.fr,13.38.170.206,arin,16509,13.36.0.0/14,"AMAZON-02, US",US,"[{'cidr': '13.56.0.0/14, 13.24.0.0/13, 13.32.0.0/12, 13.48.0.0/13', 'name': 'AT-88-Z', 'handle': 'NET-13-24-0-0-1', 'range': '13.24.0.0 - 13.59.255.255', 'description': 'Amazon Technologies Inc.', 'country': 'US', 'state': 'WA', 'city': 'Seattle', 'address': '410 Terry Ave N.', 'postal_code': '98109', 'emails': ['aws-routing-poc@amazon.com', 'amzn-noc-contact@amazon.com', 'abuse@amazonaws.com', 'aws-rpki-routing-poc@amazon.com'], 'created': '2020-08-05', 'updated': '2021-02-10'}, {'cidr': '13.36.0.0/14', 'name': 'AMAZON-CDG', 'handle': 'NET-13-36-0-0-1', 'range': None, 'description': 'Amazon Data Services France', 'country': 'FR', 'state': 'PostalCode:     92110', 'city': 'Clichy', 'address': '67 Boulevard du General Leclerc', 'postal_code': '92110', 'emails': ['abuse@amazonaws.com', 'amzn-noc-contact@amazon.com'], 'created': '2020-10-22', 'updated': '2021-02-10'}]"
bindelli-vinai-figarol-janet.notaires.fr,,,,,,Unable to resolve. Error: [Errno 11001] getaddrinfo failed,
bingler-munster.notaires.fr,15.188.186.150,arin,16509,15.188.0.0/16,"AMAZON-02, US",US,"[{'cidr': '15.188.0.0/16, 15.180.0.0/14, 15.179.0.0/16, 15.184.0.0/14', 'name': 'AT-88-Z', 'handle': 'NET-15-179-0-0-1', 'range': '15.179.0.0 - 15.188.255.255', 'description': 'Amazon Technologies Inc.', 'country': 'US', 'state': 'WA', 'city': 'Seattle', 'address': '410 Terry Ave N.', 'postal_code': '98109', 'emails': ['amzn-noc-contact@amazon.com', 'aws-routing-poc@amazon.com', 'aws-rpki-routing-poc@amazon.com', 'abuse@amazonaws.com'], 'created': '2021-01-28', 'updated': '2021-02-10'}, {'cidr': '15.188.0.0/16', 'name': 'AMAZON-CDG', 'handle': 'NET-15-188-0-0-2', 'range': None, 'description': 'Amazon Data Services France', 'country': 'FR', 'state': 'PostalCode:     92110', 'city': 'Clichy', 'address': '67 Boulevard du General Leclerc', 'postal_code': '92110', 'emails': ['abuse@amazonaws.com', 'amzn-noc-contact@amazon.com'], 'created': '2019-05-22', 'updated': '2021-02-10'}]"
biotteau-dreno-gicquel-ancenis.notaires.fr,,,,,,Unable to resolve. Error: [Errno 11001] getaddrinfo failed,
blanchardgerard-pedron-trebeurden-pleumeurbodou.notaires.fr,13.38.170.206,arin,16509,13.36.0.0/14,"AMAZON-02, US",US,"[{'cidr': '13.48.0.0/13, 13.56.0.0/14, 13.24.0.0/13, 13.32.0.0/12', 'name': 'AT-88-Z', 'handle': 'NET-13-24-0-0-1', 'range': '13.24.0.0 - 13.59.255.255', 'description': 'Amazon Technologies Inc.', 'country': 'US', 'state': 'WA', 'city': 'Seattle', 'address': '410 Terry Ave N.', 'postal_code': '98109', 'emails': ['amzn-noc-contact@amazon.com', 'aws-routing-poc@amazon.com', 'abuse@amazonaws.com', 'aws-rpki-routing-poc@amazon.com'], 'created': '2020-08-05', 'updated': '2021-02-10'}, {'cidr': '13.36.0.0/14', 'name': 'AMAZON-CDG', 'handle': 'NET-13-36-0-0-1', 'range': None, 'description': 'Amazon Data Services France', 'country': 'FR', 'state': 'PostalCode:     92110', 'city': 'Clichy', 'address': '67 Boulevard du General Leclerc', 'postal_code': '92110', 'emails': ['amzn-noc-contact@amazon.com', 'abuse@amazonaws.com'], 'created': '2020-10-22', 'updated': '2021-02-10'}]"
blanchet-fougeres.notaires.fr,15.188.186.150,arin,16509,15.188.0.0/16,"AMAZON-02, US",US,"[{'cidr': '15.184.0.0/14, 15.180.0.0/14, 15.179.0.0/16, 15.188.0.0/16', 'name': 'AT-88-Z', 'handle': 'NET-15-179-0-0-1', 'range': '15.179.0.0 - 15.188.255.255', 'description': 'Amazon Technologies Inc.', 'country': 'US', 'state': 'WA', 'city': 'Seattle', 'address': '410 Terry Ave N.', 'postal_code': '98109', 'emails': ['aws-rpki-routing-poc@amazon.com', 'amzn-noc-contact@amazon.com', 'abuse@amazonaws.com', 'aws-routing-poc@amazon.com'], 'created': '2021-01-28', 'updated': '2021-02-10'}, {'cidr': '15.188.0.0/16', 'name': 'AMAZON-CDG', 'handle': 'NET-15-188-0-0-2', 'range': None, 'description': 'Amazon Data Services France', 'country': 'FR', 'state': 'PostalCode:     92110', 'city': 'Clichy', 'address': '67 Boulevard du General Leclerc', 'postal_code': '92110', 'emails': ['amzn-noc-contact@amazon.com', 'abuse@amazonaws.com'], 'created': '2019-05-22', 'updated': '2021-02-10'}]"
blanc-mancini-agay.notaires.fr,13.38.170.206,arin,16509,13.36.0.0/14,"AMAZON-02, US",US,"[{'cidr': '13.24.0.0/13, 13.48.0.0/13, 13.56.0.0/14, 13.32.0.0/12', 'name': 'AT-88-Z', 'handle': 'NET-13-24-0-0-1', 'range': '13.24.0.0 - 13.59.255.255', 'description': 'Amazon Technologies Inc.', 'country': 'US', 'state': 'WA', 'city': 'Seattle', 'address': '410 Terry Ave N.', 'postal_code': '98109', 'emails': ['aws-routing-poc@amazon.com', 'amzn-noc-contact@amazon.com', 'abuse@amazonaws.com', 'aws-rpki-routing-poc@amazon.com'], 'created': '2020-08-05', 'updated': '2021-02-10'}, {'cidr': '13.36.0.0/14', 'name': 'AMAZON-CDG', 'handle': 'NET-13-36-0-0-1', 'range': None, 'description': 'Amazon Data Services France', 'country': 'FR', 'state': 'PostalCode:     92110', 'city': 'Clichy', 'address': '67 Boulevard du General Leclerc', 'postal_code': '92110', 'emails': ['abuse@amazonaws.com', 'amzn-noc-contact@amazon.com'], 'created': '2020-10-22', 'updated': '2021-02-10'}]"
blanc-oullins.notaires.fr,15.188.186.150,arin,16509,15.188.0.0/16,"AMAZON-02, US",US,"[{'cidr': '15.180.0.0/14, 15.188.0.0/16, 15.179.0.0/16, 15.184.0.0/14', 'name': 'AT-88-Z', 'handle': 'NET-15-179-0-0-1', 'range': '15.179.0.0 - 15.188.255.255', 'description': 'Amazon Technologies Inc.', 'country': 'US', 'state': 'WA', 'city': 'Seattle', 'address': '410 Terry Ave N.', 'postal_code': '98109', 'emails': ['amzn-noc-contact@amazon.com', 'aws-routing-poc@amazon.com', 'abuse@amazonaws.com', 'aws-rpki-routing-poc@amazon.com'], 'created': '2021-01-28', 'updated': '2021-02-10'}, {'cidr': '15.188.0.0/16', 'name': 'AMAZON-CDG', 'handle': 'NET-15-188-0-0-2', 'range': None, 'description': 'Amazon Data Services France', 'country': 'FR', 'state': 'PostalCode:     92110', 'city': 'Clichy', 'address': '67 Boulevard du General Leclerc', 'postal_code': '92110', 'emails': ['amzn-noc-contact@amazon.com', 'abuse@amazonaws.com'], 'created': '2019-05-22', 'updated': '2021-02-10'}]"
blandine-flamand-lestrem.notaires.fr,13.38.170.206,arin,16509,13.36.0.0/14,"AMAZON-02, US",US,"[{'cidr': '13.32.0.0/12, 13.56.0.0/14, 13.48.0.0/13, 13.24.0.0/13', 'name': 'AT-88-Z', 'handle': 'NET-13-24-0-0-1', 'range': '13.24.0.0 - 13.59.255.255', 'description': 'Amazon Technologies Inc.', 'country': 'US', 'state': 'WA', 'city': 'Seattle', 'address': '410 Terry Ave N.', 'postal_code': '98109', 'emails': ['aws-rpki-routing-poc@amazon.com', 'amzn-noc-contact@amazon.com', 'abuse@amazonaws.com', 'aws-routing-poc@amazon.com'], 'created': '2020-08-05', 'updated': '2021-02-10'}, {'cidr': '13.36.0.0/14', 'name': 'AMAZON-CDG', 'handle': 'NET-13-36-0-0-1', 'range': None, 'description': 'Amazon Data Services France', 'country': 'FR', 'state': 'PostalCode:     92110', 'city': 'Clichy', 'address': '67 Boulevard du General Leclerc', 'postal_code': '92110', 'emails': ['amzn-noc-contact@amazon.com', 'abuse@amazonaws.com'], 'created': '2020-10-22', 'updated': '2021-02-10'}]"
blavignac-noailles.notaires.fr,15.188.186.150,arin,16509,15.188.0.0/16,"AMAZON-02, US",US,"[{'cidr': '15.184.0.0/14, 15.188.0.0/16, 15.180.0.0/14, 15.179.0.0/16', 'name': 'AT-88-Z', 'handle': 'NET-15-179-0-0-1', 'range': '15.179.0.0 - 15.188.255.255', 'description': 'Amazon Technologies Inc.', 'country': 'US', 'state': 'WA', 'city': 'Seattle', 'address': '410 Terry Ave N.', 'postal_code': '98109', 'emails': ['aws-rpki-routing-poc@amazon.com', 'amzn-noc-contact@amazon.com', 'abuse@amazonaws.com', 'aws-routing-poc@amazon.com'], 'created': '2021-01-28', 'updated': '2021-02-10'}, {'cidr': '15.188.0.0/16', 'name': 'AMAZON-CDG', 'handle': 'NET-15-188-0-0-2', 'range': None, 'description': 'Amazon Data Services France', 'country': 'FR', 'state': 'PostalCode:     92110', 'city': 'Clichy', 'address': '67 Boulevard du General Leclerc', 'postal_code': '92110', 'emails': ['amzn-noc-contact@amazon.com', 'abuse@amazonaws.com'], 'created': '2019-05-22', 'updated': '2021-02-10'}]"
blineau-suire.notaires.fr,15.188.186.150,arin,16509,15.188.0.0/16,"AMAZON-02, US",US,"[{'cidr': '15.179.0.0/16, 15.184.0.0/14, 15.180.0.0/14, 15.188.0.0/16', 'name': 'AT-88-Z', 'handle': 'NET-15-179-0-0-1', 'range': '15.179.0.0 - 15.188.255.255', 'description': 'Amazon Technologies Inc.', 'country': 'US', 'state': 'WA', 'city': 'Seattle', 'address': '410 Terry Ave N.', 'postal_code': '98109', 'emails': ['aws-routing-poc@amazon.com', 'amzn-noc-contact@amazon.com', 'abuse@amazonaws.com', 'aws-rpki-routing-poc@amazon.com'], 'created': '2021-01-28', 'updated': '2021-02-10'}, {'cidr': '15.188.0.0/16', 'name': 'AMAZON-CDG', 'handle': 'NET-15-188-0-0-2', 'range': None, 'description': 'Amazon Data Services France', 'country': 'FR', 'state': 'PostalCode:     92110', 'city': 'Clichy', 'address': '67 Boulevard du General Leclerc', 'postal_code': '92110', 'emails': ['abuse@amazonaws.com', 'amzn-noc-contact@amazon.com'], 'created': '2019-05-22', 'updated': '2021-02-10'}]"
blondel-bapaume.notaires.fr,,,,,,Unable to resolve. Error: [Errno 11001] getaddrinfo failed,
blondel-crepin-larocheguyon.notaires.fr,,,,,,Unable to resolve. Error: [Errno 11001] getaddrinfo failed,
blondel-villersbocage.notaires.fr,,,,,,Unable to resolve. Error: [Errno 11001] getaddrinfo failed,
blot-chartier-louviers.notaires.fr,,,,,,Unable to resolve. Error: [Errno 11001] getaddrinfo failed,
boca-bataillesage-valenciennes.notaires.fr,,,,,,Unable to resolve. Error: [Errno 11001] getaddrinfo failed,
boca-valenciennes.notaires.fr,13.38.170.206,arin,16509,13.36.0.0/14,"AMAZON-02, US",US,"[{'cidr': '13.24.0.0/13, 13.32.0.0/12, 13.48.0.0/13, 13.56.0.0/14', 'name': 'AT-88-Z', 'handle': 'NET-13-24-0-0-1', 'range': '13.24.0.0 - 13.59.255.255', 'description': 'Amazon Technologies Inc.', 'country': 'US', 'state': 'WA', 'city': 'Seattle', 'address': '410 Terry Ave N.', 'postal_code': '98109', 'emails': ['amzn-noc-contact@amazon.com', 'aws-routing-poc@amazon.com', 'abuse@amazonaws.com', 'aws-rpki-routing-poc@amazon.com'], 'created': '2020-08-05', 'updated': '2021-02-10'}, {'cidr': '13.36.0.0/14', 'name': 'AMAZON-CDG', 'handle': 'NET-13-36-0-0-1', 'range': None, 'description': 'Amazon Data Services France', 'country': 'FR', 'state': 'PostalCode:     92110', 'city': 'Clichy', 'address': '67 Boulevard du General Leclerc', 'postal_code': '92110', 'emails': ['amzn-noc-contact@amazon.com', 'abuse@amazonaws.com'], 'created': '2020-10-22', 'updated': '2021-02-10'}]"
bocquenet-lasnier.notaires.fr,15.188.186.150,arin,16509,15.188.0.0/16,"AMAZON-02, US",US,"[{'cidr': '15.184.0.0/14, 15.188.0.0/16, 15.180.0.0/14, 15.179.0.0/16', 'name': 'AT-88-Z', 'handle': 'NET-15-179-0-0-1', 'range': '15.179.0.0 - 15.188.255.255', 'description': 'Amazon Technologies Inc.', 'country': 'US', 'state': 'WA', 'city': 'Seattle', 'address': '410 Terry Ave N.', 'postal_code': '98109', 'emails': ['aws-rpki-routing-poc@amazon.com', 'aws-routing-poc@amazon.com', 'abuse@amazonaws.com', 'amzn-noc-contact@amazon.com'], 'created': '2021-01-28', 'updated': '2021-02-10'}, {'cidr': '15.188.0.0/16', 'name': 'AMAZON-CDG', 'handle': 'NET-15-188-0-0-2', 'range': None, 'description': 'Amazon Data Services France', 'country': 'FR', 'state': 'PostalCode:     92110', 'city': 'Clichy', 'address': '67 Boulevard du General Leclerc', 'postal_code': '92110', 'emails': ['amzn-noc-contact@amazon.com', 'abuse@amazonaws.com'], 'created': '2019-05-22', 'updated': '2021-02-10'}]"
bodartmarechalle.notaires.fr,15.188.186.150,arin,16509,15.188.0.0/16,"AMAZON-02, US",US,"[{'cidr': '15.180.0.0/14, 15.188.0.0/16, 15.184.0.0/14, 15.179.0.0/16', 'name': 'AT-88-Z', 'handle': 'NET-15-179-0-0-1', 'range': '15.179.0.0 - 15.188.255.255', 'description': 'Amazon Technologies Inc.', 'country': 'US', 'state': 'WA', 'city': 'Seattle', 'address': '410 Terry Ave N.', 'postal_code': '98109', 'emails': ['amzn-noc-contact@amazon.com', 'abuse@amazonaws.com', 'aws-rpki-routing-poc@amazon.com', 'aws-routing-poc@amazon.com'], 'created': '2021-01-28', 'updated': '2021-02-10'}, {'cidr': '15.188.0.0/16', 'name': 'AMAZON-CDG', 'handle': 'NET-15-188-0-0-2', 'range': None, 'description': 'Amazon Data Services France', 'country': 'FR', 'state': 'PostalCode:     92110', 'city': 'Clichy', 'address': '67 Boulevard du General Leclerc', 'postal_code': '92110', 'emails': ['amzn-noc-contact@amazon.com', 'abuse@amazonaws.com'], 'created': '2019-05-22', 'updated': '2021-02-10'}]"
